date,tournament,home_team,away_team,home_score,away_score,winner,tournament_category
2001-07-10,Island Games,Rhodes,Isle of Wight,1,4,Isle of Wight,Other Tournaments
2001-07-10,Island Games,Isle of Man,Guernsey,2,3,Guernsey,Other Tournaments
2001-07-11,Copa América,Colombia,Venezuela,2,0,Colombia,Other Tournaments
2001-07-11,Copa América,Ecuador,Chile,1,4,Chile,Other Tournaments
2001-07-12,Copa América,Brazil,Mexico,0,1,Mexico,Other Tournaments
2001-07-12,Copa América,Peru,Paraguay,3,3,Draw,Other Tournaments
2001-07-12,Island Games,Saare County,Orkney,2,1,Saare County,Other Tournaments
2001-07-12,Island Games,Greenland,Falkland Islands,4,0,Greenland,Other Tournaments
2001-07-12,Island Games,Isle of Man,Rhodes,1,3,Rhodes,Other Tournaments
2001-07-12,Island Games,Gibraltar,Shetland,2,0,Gibraltar,Other Tournaments
2001-07-12,Island Games,Isle of Wight,Guernsey,2,3,Guernsey,Other Tournaments
2001-07-12,Island Games,Ynys Môn,Jersey,2,2,Draw,Other Tournaments
2001-07-13,Copa América,Bolivia,Uruguay,0,1,Uruguay,Other Tournaments
2001-07-13,FIFA World Cup qualification,Egypt,Namibia,8,2,Egypt,Other Tournaments
2001-07-13,Copa América,Honduras,Costa Rica,0,1,Costa Rica,Other Tournaments
2001-07-13,Island Games,Orkney,Falkland Islands,1,4,Falkland Islands,Other Tournaments
2001-07-13,Island Games,Greenland,Saare County,2,0,Greenland,Other Tournaments
2001-07-13,Island Games,Isle of Man,Shetland,2,2,Draw,Other Tournaments
2001-07-13,Island Games,Gibraltar,Rhodes,2,0,Gibraltar,Other Tournaments
2001-07-13,Island Games,Isle of Wight,Jersey,0,2,Jersey,Other Tournaments
2001-07-13,Island Games,Guernsey,Ynys Môn,0,0,Draw,Other Tournaments
2001-07-14,Copa América,Chile,Venezuela,1,0,Chile,Other Tournaments
2001-07-14,Copa América,Colombia,Ecuador,1,0,Colombia,Other Tournaments
2001-07-14,Friendly,Monaco,Tibet,2,1,Monaco,Friendly/Invitationals
2001-07-14,FIFA World Cup qualification,Senegal,Morocco,1,0,Senegal,Other Tournaments
2001-07-14,FIFA World Cup qualification,Sierra Leone,Liberia,0,1,Liberia,Other Tournaments
2001-07-14,FIFA World Cup qualification,South Africa,Malawi,2,0,South Africa,Other Tournaments
2001-07-14,FIFA World Cup qualification,Zambia,Cameroon,2,2,Draw,Other Tournaments
2001-07-15,Copa América,Brazil,Peru,2,0,Brazil,Other Tournaments
2001-07-15,FIFA World Cup qualification,Congo,Ivory Coast,1,1,Draw,Other Tournaments
2001-07-15,FIFA World Cup qualification,DR Congo,Tunisia,0,3,Tunisia,Other Tournaments
2001-07-15,FIFA World Cup qualification,Ghana,Sudan,1,0,Ghana,Other Tournaments
2001-07-15,Copa América,Paraguay,Mexico,0,0,Draw,Other Tournaments
2001-07-15,FIFA World Cup qualification,Togo,Libya,2,0,Togo,Other Tournaments
2001-07-15,FIFA World Cup qualification,Zimbabwe,Burkina Faso,1,0,Zimbabwe,Other Tournaments
2001-07-16,Copa América,Honduras,Bolivia,2,0,Honduras,Other Tournaments
2001-07-16,Copa América,Uruguay,Costa Rica,1,1,Draw,Other Tournaments
2001-07-17,Copa América,Colombia,Chile,2,0,Colombia,Other Tournaments
2001-07-17,Copa América,Ecuador,Venezuela,4,0,Ecuador,Other Tournaments
2001-07-18,Copa América,Brazil,Paraguay,3,1,Brazil,Other Tournaments
2001-07-18,Copa América,Peru,Mexico,1,0,Peru,Other Tournaments
2001-07-19,Copa América,Bolivia,Costa Rica,0,4,Costa Rica,Other Tournaments
2001-07-19,Copa América,Honduras,Uruguay,1,0,Honduras,Other Tournaments
2001-07-19,Friendly,Malaysia,Saudi Arabia,0,4,Saudi Arabia,Friendly/Invitationals
